Permit Type,Agency,Division,Permit/License Name,Form Title,Form PDF,L123 Description,Department Description,Description Link,Biz Portal Description,Application Fee,License Fee,Renewal Fee,Time Frame,"Industry or Sector (as in Lic123: e.g. automotive, consulting, education, food and drink, business services)","Business Types_Level 1 (e.g. cafe, design studio, ",Requirements Link,Tag,Tasks,Notes:,
SF,Contract Monitoring Division,,Small Business Administration (SBA) Certification,LBE Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,No License123 Description,No Department Description,N/A,Gives you preference when bidding on certain contracts with the San Francisco city government as well as the State of California and the US. Government.,None,None,N/A,Unknown,,"Any small, local business",,,,,
SF,Contract Monitoring Division,,Small Business Administration (SBA) Re-Certification,LBE Re-Certification,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,No License123 Description,No Department Description,N/A,"Re-certifies you to do business with the City of San Francisco, State of California and US Government, giving you preference when bidding on certain contracts.",None,None,N/A,Unknown,,"Any small, local business",,,,,
SF,Department of Building Inspection (DBI),,Apartment and Hotel License,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),N/A,Building Permit,Pre-Application Packet,http://sf-planning.org/Modules/ShowDocument.aspx?documentid=533,No License123 Description,The Pre-Application Meeting is a mandatory form of community outreach conducted by the project sponsor in order to receive initial feedback regarding certain project types prior to submittal to the Planning Department or Department of Building Inspection. ,N/A,"This is for applicants seeking Planning Approval for New Construction, alterations to a facility, or Formula Retail Use. ",http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=512,N/A,N/A,Unknown,,Any business ,,,,seeking construction/alterations,
SF,Department of Building Inspection (DBI),,Certificate of Final Completion and Occupancy,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Demolition Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Electrical Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Grading Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Mechanical Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Permit to Operate Boiler,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Plumbing Permit,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Building Inspection (DBI),,Sign Permit,,,No License123 Description,"Sign Permits are required for most business signs. This includes signs painted directly on walls as well as fabricated signs hung on a wall or projecting from a building. Signs that are not visible from outside the building do not require permits. Signs painted directly on to a window or door do not require a permit in most zoning districts, please contact the Planning Information Center (PIC) for more information. Where there is a structural component to a sign (e.g. a sign physically attached to a wall) a Building Permit Application will also be required.",http://www.sf-planning.org/index.aspx?page=2813,,,,,,, Any,,,,,
SF,Department of Building Inspection (DBI),N/A,Vacant and Abandoned Building Registration,Application for Registration of Vacant or Abandoned Building,http://sfdbi.org/sites/sfdbi.org/files/migrated/FileCenter/Documents/forms/Inspection_Services/Application_for_Registration_of_VacantAbandon_Bldg_September_2013.pdf,No License123 Description,San Francisco Building Code Section 103A.4 Requires the owner to register annually a vacant or abandoned building with the Department of Building Inspection within 30 days after it has become vacant or abandoned.,http://sfdbi.org/vacant-or-abandoned-building-notification,Owners of vacant or abandoned buildings are required to complete this form.,$765/yr,N/A,N/A,Unknown,,Any owner of a vacant or abandoned building,,,,,
SF,Department of Building Inspection (DBI),N/A,Vacant Building Annual Registration Signage,Vacant Building Annual Registration,http://sfdbi.org/sites/sfdbi.org/files/migrated/FileCenter/Documents/Inspection_Services/20110719signage.pdf,No License123 Description,No Department Description,http://sfdbi.org/vacant-or-abandoned-building-notification,Owners of vacant or abandoned buildings are required to complete and display this sign.,N/A,N/A,N/A,Unknown,,Any owner of a vacant or abandoned building,,,,,
SF,Department of Public Health (DPH),Environmental Health,Application for Massage Practitioner,Application for Massage Practitioner,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassPractApp.pdf,No License123 Description,"All massage practitioners, except state certified practitioners and licensed healthcare providers, are required to obtain a license from the San Francisco Department of Public Health.",http://www.sfdph.org/dph/EH/Massage/genlLic.asp,"The process is the same as General Massage Practitioner, but signifies advanced practitioners as having more than or equal to 200 hours of training from a massage school approved by the Department of Consumer Affairs. ",$141,$119,N/A,unknown; complete background check required,,"Beauty Salon & Spa, Massage Establishment",,,,,
SF,Department of Public Health (DPH),Environmental Health,"PERMIT TO OPERATE A MASSAGE 
ESTABLISHMENT","APPLICATION FOR PERMIT TO OPERATE A MASSAGE 
ESTABLISHMENT",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassEstabApp.pdf,No License123 Description,unknown,https://www.sfdph.org/dph/EH/Fees.asp,"Allows permitholder to operate to perate a general massage, outcall service or solo practitioner massage establishment.",http://www.sfdph.org/dph/EH/Fees.asp,$658,N/A,unknown,,"Beauty Salon & Spa, Massage Establishment",,,,,
SF,Department of Public Health (DPH),Environmental Health,Massage Permit,Declaration of Exemption from Massage Permit Requirements For Establishments Employing Only State-certified Massage Practitioners,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/MassagePermitExemptionDeclaration.pdf,No License123 Description,"Massage establishments requesting an exemption from San Francisco permit requirements must complete this declaration, listing all massage practitioners working at their establishment, providing their sertification numbers and expiration dates, and providing copies of the certification. Businesses must update this declaration annually and within 30 days of any change in staff providing massage services.",taken from form,Requests exemption for massage establishments from obtaining local permits if all practitioners are certified through the California Massage Therapy Council. This falls under California Legislature passed State Assembly Bill 619.,N/A,N/A,N/A,unknown,,"Beauty Salon & Spa, Massage Establishment",,,,,
SF,Department of Public Health (DPH),Environmental Health,Massage ,Request for Verification of Massage License,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassReqVerLic.pdf,No License123 Description,unknown,N/A,This form is used to verigfy massage licenses used in and outside of California.,N/A,N/A,N/A,,,,,,,,
SF,Department of Public Health (DPH),,APARTMENT BUILDINGS,,,No License123 Description,"The Environmental Health Section's Apartment Inspection Program provides a coordinated and comprehensive approach to preventing health problems caused by unhealthy environmental conditions in multi-unit residential buildings. The goal of the Apartment Inspection Program is to ensure that multi-unit apartments maintain safe, sanitary and habitable conditions at all times. In addition, our staff can provide training and other resources. If we do not have authority to correct a hazard, we can help residents by making referrals to other public agencies and health professionals. Where possible, we provide services in English, Spanish, Mandarin, Cantonese, and Tagalog.",http://www.sfdph.org/dph/eh/Housing/healthy.asp,,,,,,,Apartment Building,,,,,
SF,Department of Public Health (DPH),,AUTOMATIC LAUNDRY - FACILITIES,Application for Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/permit_to_operate.pdf,No License123 Description,unknown,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Laundry Facility,,,,,
SF,Department of Public Health (DPH),,AUTOMATIC LAUNDRY - FACILITIES,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,No License123 Description,unknown,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Laundry Facility,,,,,
SF,Department of Public Health (DPH),,AUTOMATIC LAUNDRY - FACILITIES,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/FireMarshalBulletin.pdf,No License123 Description,unknown,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Laundry Facility,,,,,
SF,Department of Public Health (DPH),,BARS / TAVERNS (W FOOD PREP),,,"Counties regulate the health and safety of restaurants, bars and other establishments selling food and drink to the public. Your business must demonstrate that it complies with local and state codes and obtain a permit in order to operate. ",,,,,,,,,"Bar, Nightclub",,,,,
SF,Department of Public Health (DPH),,BARS / TAVERNS (W/O FOOD PREP),,,"Counties regulate the health and safety of restaurants, bars and other establishments selling food and drink to the public. Your business must demonstrate that it complies with local and state codes and obtain a permit in order to operate. ",,,,,,,,,"Bar, Nightclub",,,,,
SF,Department of Public Health (DPH),,BED AND BREAKFAST,,,,,,,,,,,,Bed & Breakfast,,,,,
SF,Department of Public Health (DPH),,Boarding Home Permit,,,Any facility housing non-related persons for profit must have a county boarding permit.,,,,,,,,,Boarding Home,,,,,
SF,Department of Public Health (DPH),,CANDY STORES - (ONLY IF UNDER $1000 INVENTORY),,,"San Francisco's candy store permit can be used by businesses with less than $10,000 of Inventory. Otherwise, you must obtain a Retail Market Permit.",,,,N/A,$142,N/A,unknown,,Candy Store,,,,,
SF,Department of Public Health (DPH),,Caterer Permit,Application Packet for Food Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsCaterer/CatererPermitAppPacket2012.pdf,Anyone wishing to operate as a caterer in San Francisco must obtain a permit to do so. Permits are issued by the San Francisco Department of Public Health Environmental Health Division to ensure quality and enforcement of regulations.," This packet includes an Application for Food Permit to Operate, a Labor Law Checklist for San Francisco Business Owners, a Declaration of Healthy and Safe Working Conditions, and a Workers' Compensation Declaration.",http://www.sfdph.org/dph/EH/Food/Caterer.asp,This application packet allows you to operate a catering business.,$341,$387,N/A,unknown,,Caterer,,,,,
,Department of Public Health (DPH),,CATERING FACILITIES,Commissary or Permitted Kitchen Verification Form for Caterers,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsCaterer/CommVerification.pdf,No License123 Description,A caterer is any person (or entity) who supplies food and beverages and/or related services to any off premise public or private function. Completed Commissary Kitchen Verification Form (pdf) by owner of catering facility required.,N/A,This is a supplemental form to be submitted with the Caterer Permit Application. This form indicates where the caterer will operate from and that the facilities are adequate and well-maintained.,unknown,$1054,unknown,unknown,,Caterer,,,,,
SF,Department of Public Health (DPH),,Certified Farmers' Market Manager Permit,CFM Application Packet,https://www.sfdph.org/dph/EH/Food/CertFarmMkt.asp,Anyone operating a farmers' market as a manager in San Francisco must obtain a permit to do so. Permits are issued by the San Francisco Department of Public Health Environmental Health Division to ensure quality and enforcement of regulations.,Individuals or associations who apply for a health permit to operate a CFM shall be considered a Market Manager. The Market Manager shall be present and responsible for the operation of the CFM and shall ensure that all food vendors comply with State Health Codes. All Certified Farmers are permitted under the CFM permit.,https://www.sfdph.org/dph/EH/Food/CertFarmMkt.asp,This packet includes the required forms to apply for a Certified Farmers Market permit.,unknown,"$1,069 Annual Fee","$1,069 Annual Fee",unknown,,Farmer's Market Booth,,,,,
SF,Department of Public Health (DPH),,Certified Farmers' Market Permit,,,"In California, county departments of agriculture must certify that farmers markets meet health and quality standards and honestly offer farm-direct produce to the consumer.",,,,,,,,,Farmer's Market Booth,,,,,
SF,Department of Public Health (DPH),,Certified Farmers' Market Retail Food Vender,Application Packet for Food Permit to Operate or Certificate of Sanitation,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FoodPermitAppPacket2012.pdf,Vendors at Certified Farmers' Markets in San Francisco must hold licenses to sell food to the public.,"Any vendor who sells pre-packaged foods that are processed, packaged and labeled from an approved source at a CFM shall have an individual permit that is specific to the market that they are applying for. Permits are non transferable.",https://www.sfdph.org/dph/EH/Food/CertFarmMkt.asp,This packet is necessary for any vendor that sells prepackaged or processed foods at a farmers market.,unknown,$442,unknown,unknown,,Farmers Market Booth,,,,,
SF,Department of Public Health (DPH),,Commissary Permit,,,Food preparation facilities must meet local health and safety standards. ,,,,,,,,,Commissary,,,,,
SF,Department of Public Health (DPH),,CROSS CONNECTION TESTERS,Application for Certified Backflow Assembly Tester Permit to Operate,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/CrossConn/permit_to_operate03.pdf,No License123 Description,"A cross connection is a potential connection between a potable water system and a source of contamination, such as waste water, where backflow can occur from the source of contamination and cause a serious public health hazard. The Environmental Health Section certifies backflow prevention testers and inspects for cross connections in the City to ensure San Francisco residents have clean and safe potable water.",http://www.sfdph.org/dph/eh/CrossFlow/default.asp,"This application is necessary to operate as a backflow prevention tester, testing potential connections between potable water and a source of contamination.",$174,$89,unknown,unknown,,"Sanitation System Contractor, Water Conditioning Contractor",,,,Is this a sub set of contractor?,
SF,Department of Public Health (DPH),,Department of Public Health Permit,,,No License123 Description,PERMIT TO OPERATE OR CERTIFICATE OF SANITATION,,,,,,,,All,,,,,
SF,Department of Public Health (DPH),,DOG KENNEL - OVERNIGHT,Application for Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/permit_to_operate.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Dog Kennel,,,,,
SF,Department of Public Health (DPH),,DOG KENNEL - OVERNIGHT,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Dog Kennel,,,,,
SF,Department of Public Health (DPH),,DOG KENNEL - OVERNIGHT,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FireMarshalForm.pdf,No License123 Description,N/A,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"This form is one of three that allows operation of a laundromat, dog kennel, pet shop, or pet hospital.",unknown,unknown,unknown,unknown,,Dog Kennel,,,,,
SF,Department of Public Health (DPH),,EMPLOYEE CAFETERIA W/ FOOD PREP,,,No License123 Description,,,,,,,,,,,,,,
SF,Department of Public Health (DPH),,Environmental Health Above Ground Petroleum Storage Permit,Hazardous Materials Unified Program Agency Annual Certification,ONLINE: https://cersbusiness2.calepa.ca.gov/Account/SignIn?ReturnUrl=%2f,"Aboveground Petroleum storage tanks are regulated in San Francisco by the Department of Public Health to ensure quality, safety and the enforcement of regulations.",The Department's Hazardous Materials and Waste Program inspects tank facilities subject to the Aboveground Petroleum Storage Act and reviews their Spill Prevention Control and Countermeasure Plans. Businesses regulated under the Aboveground Petroleum Storage Program are inspected at least once every three years to assure compliance with applicable laws.,http://www.sfdph.org/dph/EH/HMUPA/APSA.asp,"Allows you to keep a tank of gas for your business, such as the kind you might use for a taxi or a truck. ",Unknown,$348-$4554,Unknown,Unknown,,"Commercial Transportation/Trucking, Hazardous Materials Transportation, Shipping, Airport Passenger Transportation, Limousine Services, Taxi Company",,,,"To resgister your above-ground petroleum storage tank, you must create a CERS account and register through the state website. See Fee Schedule: http://www.sfdph.org/dph/EH/Fees/HazMat.pdf. Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.",
SF,Department of Public Health (DPH),,Environmental Health Above Ground Petroleum Storage Permit,Business Owner Operator Identification Form (BOOIF),No Link,"Aboveground Petroleum storage tanks are regulated in San Francisco by the Department of Public Health to ensure quality, safety and the enforcement of regulations.",No Description,N/A,"Allows you to keep a tank of gas for your business, such as the kind you might use for a taxi or a truck.",Unknown,N/A,Unknown,Unknown,,"Commercial Transportation/Trucking, Hazardous Materials Transportation, Shipping, Airport Passenger Transportation, Limousine Services, Taxi Company",,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Above Ground Petroleum Storage Permit,Business Activities Declaration Form (BADF) ,No Link,"Aboveground Petroleum storage tanks are regulated in San Francisco by the Department of Public Health to ensure quality, safety and the enforcement of regulations.",No Description,N/A,"Allows you to keep a tank of gas for your business, such as the kind you might use for a taxi or a truck.",Unknown,N/A,Unknown,Unknown,,"Commercial Transportation/Trucking, Hazardous Materials Transportation, Shipping, Airport Passenger Transportation, Limousine Services, Taxi Company",,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Above Ground Petroleum Storage Permit,Tier I Qualified Facility EPA Spill Prevention Control and Countermeasures (SPCC) Plan,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/TIERIQFSPCCPlan.pdf,"Aboveground Petroleum storage tanks are regulated in San Francisco by the Department of Public Health to ensure quality, safety and the enforcement of regulations.","The SPCC Plan is a written plan that details the procedures, equipment, and workforce commitment necessary for a business to prevent and contain oil discharges from their facility.",http://www.sfdph.org/dph/EH/HMUPA/APSA.asp,"Allows you to keep a tank of gas for your business, such as the kind you might use for a taxi or a truck.",Unknown,N/A,Unknown,Unknown,,"Commercial Transportation/Trucking, Hazardous Materials Transportation, Shipping, Airport Passenger Transportation, Limousine Services, Taxi Company",,,,"Both Tier I and Tier II facilities may self-certify their plans in lieu of a fully certified professional engineer plan. Additionally, Tier I facilities may prepare their plans using the EPA SPCC Template for Tier I facilities. Tier II Qualified Facilities must use their own template. Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.",
SF,Department of Public Health (DPH),,Environmental Health Chlorofluorocarbon Recycling Permit,Chlorofluorocarbon (CFC) Permit Application Form,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/CFCApp.pdf,No License123 Description,"Businesses servicing chlorofluorocarbon-containing units are required to use approved recycling equipment in order to reduce emission of ozone depleting compounds (chlorofluorocarbons). Any business that repairs, installs, dismantles or disposes of mobile air conditioning systems where chlorofluorocarbon (CFC) refrigerants are recovered or recycled are subject to regulation under the CFC Recovery and Recycling Ordinance and require a permit from the Hazardous Materials and Waste Program.",http://www.sfdph.org/dph/EH/HMUPA/CFC.asp,"Allows you to conduct any business engaged in the recovery and recycling of chlorofluorocarbons (a refrigerant used in Mobile Air Conditioning Systems), eg. Auto Repair",unknown,unknown,Unknown,Unknown,,"Auto Body, Auto Repair, Auto Dealer, Auto Dismantler, Air Conditioning Shop",,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Hazardous Materials/Waste Registration,,,"The city regulates auto mechanics and body shops which are considered hazardous waste generators because of the chemicals they use, including motor oil and solvents","The Hazardous Materials and Waste Program registers businesses that generate, store or handle any amount of hazardous waste and inspects these businesses to ensure that the waste is stored safely, legally managed, and disposed of properly.",http://www.sfdph.org/dph/EH/HMUPA/HazardousWaste.asp,,,,,,,,,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Hazardous Waste Generator Permit,,,"State law mandates counties and cities to conduct stringent checks and assessments before allowing businesses to produce or dispose of hazardous waste. Auto mechanics and body shops are considered hazardous waste generators because of the chemicals they use, including motor oil and solvents. ",,,,N/A,http://www.sfdph.org/dph/EH/Fees/HWGen.pdf,N/A,unknown,,,,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Medical Waste Permit or other Grant of Authorization,,,"Medical waste is regulated in San Francisco. Permits are issued by the San Francisco Department of Public Health to ensure quality, safety and the enforcement of regulations.","Medical waste may contain infectious pathogenic organisms and disease causing agents. The Hazardous Materials and Waste Program regulates businesses that generate medical waste, treat medical waste on site, transport less than 20 pounds per week of medical waste to another facilitiy for disposal or provide a common storage area for the medical waste generated at several facilities. The program provides oversight for the implementation of the Medical Waste Management Act by inspecting permitted businesses at least once annually.",http://www.sfdph.org/dph/EH/HMUPA/MedicalWaste.asp,,,,,,,,,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,Environmental Health Underground Storage Tank (UST) Permit,,,No License123 Description,"The Hazardous Materials and Waste Program provides regulatory oversight for the construction, operation, repair and removal of underground storage tanks (UST) in San Francisco. The purpose of the regulation is to prevent releases of petroleum and other hazardous substances stored in USTs.",http://www.sfdph.org/dph/EH/HMUPA/UST.asp,,,,,,,,,,,Also Note: Much of the information on the DPH website regarding Hazardous Waste Regiatration is 1+ years out of date.,
SF,Department of Public Health (DPH),,FARM STANDS,,,No License123 Description,"A temporary food facility (TFF) is any person (or organization) intending to sell, give away, or sample food to the public from a fixed location for a period of time, not to exceed 25 days in a 90-day period, in conjunction with a community event.",http://www.sfdph.org/dph/EH/Food/Permits/permitSpecEvents.asp,,,,,,,Farmer's Market Booth,,,,,
SF,Department of Public Health (DPH),,FAST FOOD OUTLETS,,,No License123 Description,,,,,,,,,"Bakery, Cafe, Deli, Ice Cream Shop, Restaurant",,,,,
SF,Department of Public Health (DPH),,Food Concessionaire Permit,TFF Concessionaire Application ,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/food_conc_app.pdf,No License123 Description,A food concessionaire permit is required in San Francisco by a temporary food facility that is at a fixed location for a period of time not to exceed 25 days in any 90-day period and in conjunction with a community event. ,http://www.sfdph.org/dph/EH/Food/Permits/permitSpecEvents.asp,"This allows creation of a  temporary food facility (TFF), any person (or organization) intending to sell, give away, or sample food to the public from a fixed location for a period of time, not to exceed 25 days in a 90-day period, in conjunction with a community event.",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/SP_FeeWorkSheet.pdf,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/SP_FeeWorkSheet.pdf,N/A,At least two weeks prior to event,, Farmer's Market Booth,,,,,
