Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Medical Waste Large Quantity Generator Permit,Required for businesses or organizations that generate MORE than 200 pounds of medical waste per month in any month of a 12-month period.,Learn more about Environmental Health Hazardous Materials & Waste Program: Medical Waste Generation from DPH,http://www.sfdph.org/dph/eh/HMUPA/MedicalWaste.asp,,Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*Dentist Office*Doctor's Office*Health Clinic*Pharmacy*Skilled Nursing Facility,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Medical Waste Application Packet,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/MedicalWasteApp.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Waste Limited Quantity Hauling Exemption,Required for any small quantity generator who wishes to transport his/her own medical waste to a permitted transfer station or common storage facility. Small quantity generators generate no more than 20 pounds of waste per week and may not transport more than 20 pounds of waste at a time.,Learn more about Environmental Health Hazardous Materials & Waste Program: Medical Waste Generation from DPH,http://www.sfdph.org/dph/eh/HMUPA/MedicalWaste.asp,,Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*Dentist Office*Doctor's Office*Health Clinic*Pharmacy*Skilled Nursing Facility,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Medical Waste Application Packet,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/MedicalWasteApp.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Waste Small Quantity Registration,Required for businesses or organizations that  generate LESS than 200 pounds of medical waste per month.,Environmental Health Hazardous Materials & Waste Program: Medical Waste Generation,http://www.sfdph.org/dph/eh/HMUPA/MedicalWaste.asp,,Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*Dentist Office*Doctor's Office*Health Clinic*Pharmacy*Skilled Nursing Facility,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Medical Waste Application Packet,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/MedicalWasteApp.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Waste Treatment Permit,Required for businesses that treat or sterilize medical waste on-site.,Environmental Health Hazardous Materials & Waste Program: Medical Waste Generation,http://www.sfdph.org/dph/eh/HMUPA/MedicalWaste.asp,,Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*Dentist Office*Doctor's Office*Health Clinic*Pharmacy*Skilled Nursing Facility,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Medical Waste Application Packet,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/MedicalWasteApp.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorofluorocarbon (CFC) Recycling Permit,"Required for any business that repairs, installs, dismantles or disposes of mobile air conditioning systems where chlorofluorocarbon (CFC) refrigerants are recovered or recycled.",Hazardous Materials & Waste Program: Chlorofluorocarbon Recovery & Recycling,http://www.sfdph.org/dph/EH/HMUPA/CFC.asp,,Auto/Motorcycle Mechanic*Specialty Contractor*Appliance Repair & Service,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,CFC Permit Application,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/CFCApp.pdf,Hazardous Materials Registration Packet,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/ApplicationForms/HazMatBusPlan.pdf,Chlorofluorocarbon (CFC) Recovery & Recycling Frequently Asked Questions,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/CFCFAQ.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Food Facility Permit,Allows the creation and operations of a Mobile Food Facility (MFF) - a pushcart or food truck. Certifies that the facility is sanitary and meets health code requirements.,Environmental Health Food Safety Program: Mobile Food Facilities,https://www.sfdph.org/dph/EH/Food/mobile.asp,"Mobile food facilities may operate their business on private property (i.e. private parking lot, BART, commercial land, etc.) or public right-of-ways (i.e. sidewalks, streets, or alleys). Mobile food facilities operating on public right-of-ways are required to complete an application with the Department of Public Works before completing the plan check approval process with the Department of Public Health. Mobile food facilities operating on private property are required to complete a Preliminary Zoning Screening Form. Before you begin the application process, review the mobile food facility flowchart (in the Mobile Food Facility Starter Kit) for a better understanding of the different requirements based on the location of your mobile food facility.",Mobile Food Truck,Food Cart*Push Cart*Lunch Truck*Street Food,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,Health Permit Application for Mobile Food Facilities,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/MobilePermitAppPacket2012.pdf,Plan Check Application for Mobile Food Facility (MFF) ,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/plancheckapplication.pdf,Commissary/Restroom/Private Property Owner Verification Forms for Mobile Food Facilities (MFF) and Mobile Support Unit (MSU),http://www.sfdph.org/dph/files/EHSdocs/ehsFood/Mobile/VerificationForms2012.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Outcall Massage Service Permit ,"Allows certified massage therapists to visit customers outside of a massage establishment, (eg. in their homes).",Outcall Massage Service Permit Page,http://www.sfdph.org/dph/EH/Massage/outcallmassage.asp,,Massage Establishment,Massage therapist*masseur*masseuse,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,Application for Permit to Operate a Massage Establishment,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassEstabApp.pdf,Business Plan Form,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassBusPlan.pdf,Practitioner's List,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassPractList.pdf,Referral to San Francisco Police Department,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassSFPDLetter.pdf,Workers' Compensation Declaration,http://www.sfdph.org/dph/EH/Massage/massageForms.asp,Declaration od Exemption from Massage Permit Requirements for Establishments Employing Only State-certified Massage Practitioners,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/MassagePermitExemptionDeclaration.pdf,,,,,,,,,,,,,,,,,,,,
"Health Permit to Operate - Restaurants, Bars, and Licensed Healthcare Facilities","All restaurants, bars and licensed healthcare facilities must obtain a permit to operate from the Department of Public Health. This application packet includes the required forms. ","Retail Food Safety Program: Restaurants, Bars and Licensed Health Care Facilities",https://www.sfdph.org/dph/EH/Food/Permits/default.asp,"All restaurants, bars and licensed healthcare facilities must obtain a permit to operate from the Department of Public Health. Should the site location require new construction or remodeling, the Department of Public Health is required to check plans and inspect the construction or remodeling. See the Plan Check Procedures under the Helpful Links for more information.

A permit to operate is not transferable. When a new business owner takes over an existing business, the new owner must apply for a permit to operate within two (2) days, otherwise a citation will be issued. Once applications are received, an inspection will be scheduled. A 45-day temporary permit will be issued and a reinspection conducted at the end of the 45-day period. Upon a successful inspection, the permit to operate will be issued.

To obtain this Health Permit submit the appropriate forms with the following to the Department of Public Health, Environmental Health Unit:
- Proof of Food Safety Certification.
- Application fee in the form of a check or money order made payable to the SF Department of Public Health.
- Proof of Business Registration with the Office of the Treasurer and Tax Collector (See Business Registration Certificate)

NOTE: Make sure that all applicants sign the applications: if partnership, all partners must sign; if corporation, authorized officer must sign.

Once DPH recieves the application with payment, a Health Inspector will call you to set up an appointment for an inspection (also called the Plan Check). The permit to operate will be issued by DPH upon the successful conclusion of their final inspection, the Tax Collector's confirmation that fees have been paid, and approval from the Building, Planning and Fire Departments, if they were involved.",Bar*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery*Vending Machines*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Device Sales*Medical Marijuana Dispensary*Medical Transport*Pharmacy*Skilled Nursing Facility,Commissary*take-out*fast food,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Application for Food Permit to Operate or Certificate of Sanitation,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FoodPermitAppPacket2012.pdf,Zoning Referral for Health Permit,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,SFFD Referral Inspection Guideline Checklist,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/DPHReferral.pdf,Environmental Health Required Steps Flow Chart,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FoodPermitFlow.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Health Permit to Operate Retail Markets,"All retail markets, supermarkets, wholesale food markets, and candy shops must obtain a permit to operate from the Department of Public Health. This application packet includes the required forms. ","Retail Food Safety Program: Restaurants, Bars and Licensed Health Care Facilities",https://www.sfdph.org/dph/EH/Food/Permits/default.asp,,Candy Store*Corner Store*Grocery Market,Supermarket*Wholesale Market*Candy Shop*Convenience Store*Grocery Store*Corner Market,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#haz,,,Application for Food Permit to Operate or Certificate of Sanitation,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FoodPermitAppPacket2012.pdf,Zoning Referral for Health Permit,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,SFFD Referral Inspection Guideline Checklist,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/DPHReferral.pdf,Environmental Health Required Steps Flow Chart,https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FoodPermitFlow.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Food Facility Special Event Permit (Sponsor/Organizer),"Permits a designated sponsor to hold an event involving Temporary Food Facilities (TFFs), also called Food Booths.",More information about the DPH Environmental Health Food Safety Program for Temporary Food Facilities (TFF),https://www.sfdph.org/dph/EH/Food/Permits/permitSpecEvents.asp,"A temporary food facility (TFF) is any person (or organization) intending to sell, give away, or sample food to the public from a fixed location for a period of time, not to exceed 25 days in a 90-day period, in conjunction with a community event.

In order for SFDPH to give initial approval for the event, please collect the following items for the application packet:

Site map (indicating temporary food facilities, mobile food facilities, restroom locations, and grey water disposal)
List of Temporary Food Facilities (indicate multiple booths) and mobile food facilities
Completed Sponsor Organizer Application (pdf)
Completed TFF Concessionaire Application (pdf) for each temporary food facility
Please be sure the facilities have completed the entirety of their concessionaire applications.
SFDPH staff will calculate the fees during the meeting so please bring a blank check for associated fees made out to SFDPH

After completion, please schedule an appointment with SFDPH to meet and discuss the event, review the application packet, and complete associated fees at least 14 days prior to the event. ",,Festival*Street Fair*Street Food,SF Department of Public Health,City,,Temporary Food Facilities Fee Worksheet,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/SP_FeeWorkSheet.pdf,,,Sponsor Application,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/spec_spon_app.pdf,TFF Concessionaire Application,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/food_conc_app.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tattoo & Piercing Facilities,Certifies that tattoo & piercing facilities are sanitary and meet health code requirements.,"More information on the Tattoo, Body Piercing, and Permanent Cosmetics Program",http://www.sfdph.org/dph/EH/BodyArt/tatForms.asp,,Tattoo & Piercing Parlor,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,Application for Permit to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/permit_to_operate.pdf,Zoning Referral for Health Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,Fire Marshal Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/FireMarshalForm.pdf," Tattooing, Body Piercing, and Permanent Cosmetics - Application for Registration Card",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/BodyArt/TBP_reg_card_app.pdf,,,,,,,,,,,,,,,,,,,,,,,,
"Tattoo, Body Piercing, Practitioner",Certifies qualified tattoo and piercing professionals to give tattoos and body piercings to the public and charge for their services.,"More information on the Tattoo, Body Piercing, and Permanent Cosmetics Program",http://www.sfdph.org/dph/EH/BodyArt/tatForms.asp,,Tattoo & Piercing Parlor,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,," Tattooing, Body Piercing, and Permanent Cosmetics - Application for Registration Card",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/BodyArt/TBP_reg_card_app.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tattoo, Body Piercing, and Permanent Cosmetics Program Temporary Permits","Temporary permits are required for tattooing, body piercing or permanent cosmetics booth at special events.","More information on the Tattoo, Body Piercing, and Permanent Cosmetics Program",http://www.sfdph.org/dph/EH/BodyArt/tatForms.asp,,Tattoo & Piercing Parlor,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,"Special Event Sponsor Application for Tattooing, Body Piercing, and Permanent Cosmetics Booth",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/BodyArt/spevnt_TattooSponsor.pdf,"Special Event Vendor Application to Operate Tattooing, Body Piercing, and Permanent Cosmetics Booth",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/BodyArt/spevnt_TattooVendor.pdf," Tattooing, Body Piercing, and Permanent Cosmetics - Application for Registration Card",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/BodyArt/TBP_reg_card_app.pdf,Temporary Food Facilities Fee Worksheet,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/SP_FeeWorkSheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco Sales Permit,Allows facilities to sell tobacco products. ,More information on the Tobacco Sales Program,http://www.sfdph.org/dph/EH/tobacco/default.asp,"Businesses engaging in the sale, delivery, furnishing or marketing of tobacco and tobacco paraphernalia from one person to another in San Francisco require a permit. This permit must be renewed annually with an annual permit fee.
Businesses also require a permit from the State Board of Equalization, which is intended to insure the proper collection of tobacco taxes. Mobile tobacco sales are prohibited in the state of California.
To apply for a permit through the Department of Public Health, fill out the required forms and bring a check for the permit fee payable to the San Francisco Department of Public Health.",Tobacco Sales,Cigarette Sales,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,Application for the Sale of Tobacco Products,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/TobaccoPermits/tobacco_appl.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vending Machines,Allows you to operate a business that sells prepackaged food and beverages by way of a vending machine.,Food Safety Program: Permit & Fee Exemptions,http://www.sfdph.org/dph/EH/Food/Permits/permitFeeExempt.asp,"A permit is not required, but the appropriate fees must be submitted to the Department of Public Health. Please see the DPH Fee Schedule and submit payment to the appropriate office.",Vending Machines,,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Cannabis Dispensary Program Permit,"Allows you to operate a medical cannabis dispensary, ensuring that your business and location meet department requirements.",More information on the Environmental Health Medical Cannabis Dispensary Program,http://www.sfdph.org/dph/EH/MCD/default.asp,"This includes the Application for Permit to Operate a MCD, the MCD Planning Referral form, the Written Statement of Compliance (must be filed annually), the Fire Marshall Referral Form, the Workers' Compensation Declaration and the Mayor's Office on Disability Referral form.",Medical Marijuana Dispensary,Medical Cannabis*Pot Club,SF Department of Public Health,City,$8656 (resinspection $4019),,,,,Application for Permit to Operate a Medical Cannabis Dispensary,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMCD/MCDAppCombined.pdf,Request for Live Scan Service,http://www.sfdph.org/DPH/files/EHSdocs/MedCannabis/MC-BackCheck.pdf,Planning Department Application Packet to Operate a Medical Cannabis Dispensary,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=8319,SFDPH Director's Rules & Regulations,http://www.sfdph.org/dph/files/EHSdocs/MedCannabis/finalregs.pdf,"Written Statement of Compliance with Article 33 of the San Francisco Health Code 
",http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMCD/StatementofCompliance.pdf,Medical Cannabis Dispensary (MCD) Regulations for Preparation of Edible Cannabis Products,http://www.sfdph.org/dph/files/EHSdocs/MedCannabis/EdibleMCRegulations.pdf,,,,,,,,,,,,,,,,,,,,
Food Handler's Card,"All individuals involved in preparation, storage, or service of food must obtain a ""Food Handler Card"".",Retail Food Safety Program Sitepage,https://www.sfdph.org/dph/EH/Food/default.asp,You must obtain a Food Handler Card through a certified training program. The Department of Public Health does not administer courses. Please use the link below for a list of approved courses. http://www.sfdph.org/dph/files/EHSdocs/ehsFood/SB602/ApprovedFHCProviders.pdf     ,Bar*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Farmer's Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery/Brewery*Restaurant*Bed & Breakfast,Food Safety Certificate*Certification*Food Handler,SF Department of Public Health,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pop-up Food Event (Host),"Allows a permitted food facility to temporarily host a ""pop-up"" facility operated by a food operators (e.g. restaurant or other organization) other than themselves.","More information about the Food Safety Program: Pop-ups"" and other Non-Traditional Temporary Food Facililities",https://www.sfdph.org/dph/EH/Food/Permits/PopUps.asp,"If you are planning to host a pop-up event in your existing restaurant space, you must inform the Department of Public Health: Environmental Health Unit at least 14 days prior to the event.

If you will be the food operator of the ""pop-up"" itself, you must have the appropriate certification for your type.

Traditional Restaurant Permit: Where food operations occur in a single fixed location for more than 25 days in three months, the food operator should obtain a traditional restaurant permit.

Temporary Food Facility Permit: Where food operations occur in either single or multiple locations for 25 days or less in three months, the food operator should generally obtain a Temporary Food Facility Permit. One temporary permit is adequate for a single food operation operating in one location for multiple days. Operators of Temporary Food Facilities are not required to hold a catering permit. The food operator must demonstrate compliance with other city codes (e.g. fire codes).

Catering Permit (for existing restaurants): A food operation that occasionally prepares and serves food at another food facility that is already permitted by the Department, which is common with many ""pop‐ups,"" may also operate with a valid catering permit. The host food facility must have a valid permanent food facility permit and advise the health inspector in advance that they will be hosting a guest food facility. The host facility must also ensure that the food preparation activities are within the scope of the permit.

",,Pop-Up,SF Department of Public Health,City,,,,,,"Notification of ""Pop-up"" Food Event",https://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/PopUpVerificationForm.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimming Pools and Spas Permit - Existing Swimming Pool or Spa,Allows an existing pool or spa pool to be used by the public.,More information about the Swimming Pools and Spas Program,http://www.sfdph.org/dph/EH/Water/default.asp,"When you take ownership of an existing swimming pool or spa pool, the Permit to Operate is not transferable. You must obtain a Permit to Operate in the name of the new ownership and pay for a license certificate from the San Francisco Tax Collector's office. Any changes (except for replacing equipment with the same manufacture, make, model, size), to an existing pool must be done with the Health Department's review and approval prior to beginning such work. 

To obtain a Permit to Operate for an existing pool, submit: 
1. An application for a Permit to Operate a Public Swimming Pool or Spa Pool. 
2. Make a one-time only application fee by check or money order made payable to the SF Department of Public Health. 

If the pool/spa complies with all health and safety standards and requirements, the Permit to Operate will be approved. The San Francisco Tax Collector's office will be notified and will bill the applicant for a pro-rated amount of the annual license fee.",,Pool*Spa*Hot Tub,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#wells,,,Permit to Operate or Certificate of Sanitation - Pool/Spa,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/water/sw_app_to_operate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimming Pools and Spas Permit - New Swimming Pool or Spa,"Allows construction to begin on a new pool or spa pool, intended to be available to the public.",More information about the Swimming Pools and Spas Program,http://www.sfdph.org/dph/EH/Water/default.asp,"For all newly constructed swimming pools and spas, submit the following application materials to the address below.

1. An application for a Permit to Operate a Public Swimming Pool or Spa Pool
2. Make a one-time only application fee by check or money order made payable to the SF Department of Public Health
3. Detailed construction plans. See the Swimming Pool and Spa Pool Construction Guidelines for information required to be submitted on drawings",,Pool*Spa*Hot Tub,SF Department of Public Health,City,,DPH Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp#wells,,,Permit to Operate or Certificate of Sanitation - Pool/Spa,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/water/sw_app_to_operate.pdf,Pool/Spa Data Sheet,http://www.sfdph.org/dph/files/EHSdocs/ehsWaterdocs/swim/Construction/sw_ConstrDataSheet.pdf,Swimming Pool & Spa Pool Construction Guidelines,http://www.sfdph.org/dph/files/EHSdocs/ehsWaterdocs/swim/Construction/sw_PlanApprovalReq.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafe Tables & Chairs,Allows you to place tables and chairs on the sidewalk in front of your business during business hours.,Department of Public Works details via the link below,http://www.sfdpw.org/index.aspx?page=384,"Tables & Chairs can be placed only on the sidewalk in front of the applicant's place of business.
1. The sidewalk in front of the business must be wide enough such that a minimum of six feet of pedestrian clearance can be established. (this six feet of clearance must be free of all obstacles)
2. Placement of tables and chairs on the sidewalk must not in any way interfere with curb ramps, access to the building, driveways or access to any fire escape.
3. Placement of tables and chairs on the sidewalk must conform to all federal, state and local laws and regulations.",Cafe or Deli*Ice Cream Shop*Restaurant,Outdoor Tables & Chairs,SF Department of Public Works,City,,DPH Fee Schedule,http://www.sfdpw.org/modules/showdocument.aspx?documentid=3275,,,Application for Revocable Street Use Permit (Tables & Chairs),https://lametropolitaine.files.wordpress.com/2014/07/tc-appl-revocable-table-and-chair-permit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPW Mobile Food Facility (MFF) Permit - Public Property,"Allows you to operate a mobile food facility on public property - sidewalks, streets, and any area in the public right of way.",Department of Public Works Mobile Food Facilities Sitepage,http://www.sfdpw.org/index.aspx?page=1376#Application Guidelines,Mobile food facilities operating on public right-of-ways are required to complete an application with the Department of Public Works before completing the plan check approval process with the Department of Public Health.,Mobile Food Truck,Food Cart*Push Cart*Lunch Truck*Street Food,SF Department of Public Works,City,,MFF Fee Schedule,http://www.sfdpw.org/modules/showdocument.aspx?documentid=2762,,,Application for a Revocable Mobile Food Facility (MFF) Permit,https://lametropolitaine.files.wordpress.com/2014/07/mff-2014-application-packet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewalk Display Merchandise/Produce Permit,Allows you to display merchandise on a portion of the sidewalk outside of your business.,DPW Sidewalk Display Merchandise/Produce Permit Sitepage,http://sfdpw.org/index.aspx?page=385,,Corner Store*Grocery Market*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Pawn Shop,Outside display,SF Department of Public Works,City,,DPW Fee Schedule,http://38.106.4.205/Modules/ShowDocument.aspx?documentid=244,,,Application for Revocable Street Use Permit (Display Merchandise)),https://lametropolitaine.files.wordpress.com/2014/07/d-appl-revocable-display-merchandise.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Improvement Permit,"You must obtain this permit in addition to a DBI building permit when your construction plans include work that has an impact on the sidewalk, curb and gutter, pavement, or any other facilities in the public right-of-way ","DPW Street Improvement Permit Requirements, Checklist, and Specifications",http://www.sfdpw.org/index.aspx?page=1190,,,,SF Department of Public Works,City,,,,,,Application For Street Improvement Permit,https://lametropolitaine.files.wordpress.com/2014/07/ie-appl-street-improvement-permit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Occupancy Permit,"Allows you to occupy the public right of way for a specified period of time, including the roadway or sidewalk. It must be approved and registered at least 72-hours prior to the begininning of the covered time.",Temporary Occupancy Permit Requirements Webpage,http://38.106.4.205/index.aspx?page=1503,,,Temporary sidewalk use,SF Department of Public Works,City,,,,,,Application for a Revocable Temporary Occupancy Permit,https://lametropolitaine.files.wordpress.com/2014/07/toc-appl-revocable-temporary-occupancy-permit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Sample Merchandise Permit,"Allows you to give out free samples, related to your business, on San Francisco public streets. This does not include distribution of food, drink, or any other consumable items.",Free Sample Merchandise homepage,http://sfdpw.org/index.aspx?page=1733,,,,SF Department of Public Works,City,,DPW Fee Schedule,http://www.sfdpw.org/modules/showdocument.aspx?documentid=3275,,,Application to Distribute Free Sample Merchandise on Public Right-of-Way,https://lametropolitaine.files.wordpress.com/2014/07/fsm-appl-free-sample-merchandise-permit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor Sidewalk Encroachment Permit,"For business owners who want to install and maintain a minor encroachment, extending from his/her property. These may include, but are not limited to fences, retaining walls, steps or stairways and other minor structures in the sidewalk fronting. ",Minor Sidewalk Encroachment Permit webpage,http://www.sfdpw.org/index.aspx?page=1189,,,,SF Department of Public Works,City,,DPW Fee Schedule,http://38.106.4.205/Modules/ShowDocument.aspx?documentid=244,,,Application and Instructions for Minor Sidewalk Encroachment Permit,https://lametropolitaine.files.wordpress.com/2014/07/mse-applinst-minor-sidewalk-encroachment-permit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Hours Premises Permit,Permit typically for establishments that will be open to the public after 2:00 A.M.,Entertainment Permit Application Homepage Below,http://www.sfgov2.org/index.aspx?page=3976,,Nightclub*Bowling Alley*Bar*Restaurant,Late night operations,SF Entertainment Commission,City,"Application Fee: $1,841
License Fee: $557
Ammendment Fee: $887",,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,San Francisco Entertainment/Extended Hours Application Questionnaire,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/POEorEH-ApplicationQuestionnaire.pd,,,,,,,,,,,,,,,,,,,,,,,,,,
Place of Entertainment Permit,"You will need a Place of Entertainment Permit if you hire a disc jockey (DJ), and/or have live entertainment of any kind for your fixed place venue.",Entertainment Permit Application Homepage Below,http://www.sfgov2.org/index.aspx?page=3976,,Nightclub*Bowling Alley*Bar*Restaurant,Live music*Live band*Concert*Show,SF Entertainment Commission,City,"Application Fee: $1,841
License Fee: $535
Major Amendment: $887
Minor Amendment: $274
",,,,,Entertainment Commission Permit Application,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=340,Letter of Intent Form San Francisco Entertainment Commission,http://www.sfgov2.org/Modules/ShowDocument.aspx?documentid=339,San Francisco Entertainment/Extended Hours Application Questionnaire,http://www.sfgov2.org/ftp/uploadedfiles/entertainment/documents/POEorEH-ApplicationQuestionnaire.pd,,,,,,,,,,,,,,,,,,,,,,,,,,
